condition,metric,n,mean,sd,median,min,max
mouse-menu,trials,30,,,,,
mouse-menu,success_rate_pct,,93.333,,,,
mouse-menu,incomplete,,2.000,,,,
mouse-menu,selection_time_ms,30,2753.267,1325.084,2679.500,842,7767
mouse-menu,control_time_ms,30,3096.500,1274.826,3177.000,0,5267
mouse-menu,total_command_time_ms,30,5849.700,1527.110,5593.500,2171,7983
mouse-menu,gaze_off_ms_during_selection,30,230.233,209.998,160.500,0,847
mouse-menu,gaze_off_ms_during_adjustment,30,478.900,498.923,341.500,0,2151
mouse-menu,gaze_missing_ms_during_command,30,981.033,585.038,901.000,0,2269
mouse-menu,collisions_total,30,2.400,2.283,1.000,1,7
glanceshift,trials,30,,,,,
glanceshift,success_rate_pct,,80.000,,,,
glanceshift,incomplete,,6.000,,,,
glanceshift,selection_time_ms,28,2560.714,1459.951,2125.500,1033,7350
glanceshift,control_time_ms,28,2106.893,1317.699,1833.500,0,5523
glanceshift,total_command_time_ms,28,4667.607,1794.196,4318.500,1696,7967
glanceshift,gaze_off_ms_during_selection,30,473.033,290.749,519.000,0,1049
glanceshift,gaze_off_ms_during_adjustment,30,275.100,465.286,27.000,0,2122
glanceshift,gaze_missing_ms_during_command,30,577.633,554.896,389.000,83,2129
glanceshift,collisions_total,30,3.200,1.808,3.000,0,6
