condition,metric,n,mean,median,min,max
mouse-menu,trials,30,,,,
mouse-menu,success_rate_pct,93.3,,,,
mouse-menu,incomplete,2,,,,
mouse-menu,selection_time_ms,30,2753.3,2679.5,842.0,7767.0
mouse-menu,control_time_ms,30,3096.5,3177.0,0.0,5267.0
mouse-menu,total_command_time_ms,30,5849.7,5593.5,2171.0,7983.0
mouse-menu,gaze_off_ms_during_selection,30,230.2,160.5,0.0,847.0
mouse-menu,gaze_off_ms_during_adjustment,30,478.9,341.5,0.0,2151.0
mouse-menu,gaze_missing_ms_during_command,30,981.0,901.0,0.0,2269.0
mouse-menu,collisions_total,30,2.4,1.0,1.0,7.0
glanceshift,trials,30,,,,
glanceshift,success_rate_pct,80.0,,,,
glanceshift,incomplete,6,,,,
glanceshift,selection_time_ms,28,2560.7,2125.5,1033.0,7350.0
glanceshift,control_time_ms,28,2106.9,1833.5,0.0,5523.0
glanceshift,total_command_time_ms,28,4667.6,4318.5,1696.0,7967.0
glanceshift,gaze_off_ms_during_selection,30,473.0,519.0,0.0,1049.0
glanceshift,gaze_off_ms_during_adjustment,30,275.1,27.0,0.0,2122.0
glanceshift,gaze_missing_ms_during_command,30,577.6,389.0,83.0,2129.0
glanceshift,collisions_total,30,3.2,3.0,0.0,6.0
